Date,Open,High,Low,Close,Volume,log_return,log_return_open,log_return_high,log_return_low,log_return_volume,log_return_forecast,sma,wma,ema,dema,tema,aroon,rsi,willr,cci,ad,mom,slowk,slowd,macd,fed_funds_rate,^N225,^IXIC,^FTSE,^SPX,^DJI
1999-03-25 05:00:00,24.08857952641404,24.61982318240663,24.07197816216427,24.43720817565918,4470200,0.014368585790854968,0.0041431917238762776,0.02043621795387025,0.011095353641275178,-0.061048253079389665,-0.007500426978539237,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,4.81,0.029878270751096066,0.0289682171350361,0.011287757716120844,0.016728438297045976,0.017387282062636476
1999-03-26 05:00:00,24.25460433959961,24.304408455286673,24.105191992538423,24.25460433959961,3227200,-0.007500426978539237,0.006868619426094584,-0.012894187057092322,0.001378820529704349,-0.32581826213604764,0.028341993070753312,1,1,1,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,4.81,0.0019342046485699912,-0.006440163853496231,0.008867745885058393,-0.005589231934668773,-0.0014395119690647693
1999-03-29 05:00:00,24.304408821517125,24.95186233520508,24.304408821517125,24.95186233520508,4317200,0.028341993070753312,0.0020512978390355282,0.026290710300195936,0.008230514204993744,0.29099215575124393,-0.009358156237747923,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.81,-0.00050898857460224,0.029998184197471654,0.01835086819129515,0.021111706427016097,0.018613664458948347
1999-03-30 05:00:00,24.70284671411969,24.76925221603937,24.636441212200015,24.71944808959961,3610600,-0.009358156237747923,0.016260721702997954,-0.00734540815805066,0.013568930037286583,-0.1787330804486336,0.004689487373173477,1,1,1,1,-1,1,-1,-1,-1,1,1,1,1,1,4.81,-0.009396323349120867,-0.005047153462365459,0.0018055773223194565,-0.007215912139310645,-0.009389659331661653
1999-03-31 05:00:00,24.769236401440622,24.96845278000449,24.73603367167998,24.83564186096191,4262400,0.004689487373173477,0.0026839268934289607,0.008010085268839026,0.0040343367349389425,0.16595841840345757,0.006662405156934669,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,4.81,-0.001421660991974391,-0.0076452504924921704,0.004952374367996052,-0.011116726708976845,-0.01290407266214858
1999-04-01 05:00:00,24.76924024888402,25.051463495687656,24.636429309211717,25.001659393310547,4014200,0.006662405156934669,1.5533151846299554e-07,0.0033191095895819473,-0.004034819880660869,-0.05999430718062258,0.007937096583852329,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,4.74,0.030531375686509255,0.0129050020111254,0.005496943949925095,0.00569747223213796,0.004725059934616201
1999-04-05 04:00:00,25.051477198544227,25.217490963942137,24.985071692385063,25.200889587402344,3340200,0.007937096583852329,0.011330224992258648,0.006605590816040153,0.014052300443766373,-0.18380738930787555,-0.006610016981945767,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.74,0.0004421424354270636,0.026395462512323484,0.0,0.020958091279580027,0.017623613765618367
1999-04-06 04:00:00,25.16767154258505,25.23407700839662,24.90204967933877,25.03486061096191,3424000,-0.006610016981945767,0.0046274998401962175,0.0006575036502773229,-0.003328397686946472,0.024778772844115608,0.006610016981945809,1,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,4.74,0.008833390438792279,0.0012140246192590667,0.013385495766860208,-0.0024478740661519425,-0.004390396937518315
1999-04-07 04:00:00,25.034875822004437,25.30049784664109,24.93526756276569,25.200889587402344,3280800,0.006610016981945809,-0.00529041004014363,0.002628730000541332,0.0013330528280504372,-0.042722163183783225,0.02472465115408361,1,1,1,-1,-1,1,1,1,-1,1,1,-1,-1,1,4.74,0.004527984060073707,-0.007338113738039912,0.00898487491012828,0.006805885283716106,0.012152431699327242
1999-04-08 04:00:00,25.05147480290469,25.831739425659176,25.05147480290469,25.83173942565918,4372200,0.02472465115408361,0.0006628145712693027,0.020779872863067015,0.004649530815090585,0.28717901982644206,0.007682289540274449,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,4.74,0.01749619768333803,0.011317424622494375,-0.005468222020205513,0.012797477296876645,0.01108235677067557
1999-04-09 04:00:00,25.732125858871303,26.03095054626465,25.561961800772316,26.03095054626465,3512200,0.007682289540274449,0.026807544513701695,0.007682289540274449,0.020172679167562026,-0.2190236931625372,0.01644570192514663,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,4.74,0.0005306107340312454,0.007610753776973826,0.005406366524279735,0.0032462580933017085,-0.002342519262429947
