Date,Open,High,Low,Close,Volume,log_return,log_return_open,log_return_high,log_return_low,log_return_volume,log_return_forecast,sma,wma,ema,dema,tema,aroon,rsi,willr,cci,ad,mom,slowk,slowd,macd,fed_funds_rate,^N225,^IXIC,^FTSE,^SPX,^DJI
1999-04-09 04:00:00,44.155985615590275,45.37128797198267,43.62623843459872,44.99734878540039,1542100,0.019581033704049684,0.030815755413328965,0.01871803933170702,0.021661485286122422,-0.34865375427303424,-0.002774581071419829,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.74,0.0005306107340312454,0.007610753776973826,0.005406366524279735,0.0032462580933017085,-0.002342519262429947
1999-04-12 04:00:00,44.74802672068278,45.121965662638345,44.4675725142161,44.87267303466797,1972100,-0.002774581071419829,0.013318855728794456,-0.005510309999664299,0.019101447684791634,0.24595384095241257,-0.028884573136430856,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,4.74,-0.020875987725316257,0.002218862607874774,-0.00489386285306619,0.007595238080975959,0.016152751950482405
1999-04-13 04:00:00,43.937862797069755,44.43644847419962,42.940691442810014,43.59508514404297,2120700,-0.028884573136430856,-0.01827092146782119,-0.015309127203286178,-0.03494032113509824,0.07264725802899481,-0.04383539107994467,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,4.74,0.012507312535173922,-0.005908601747923855,0.011100659863702698,-0.006505632243595896,0.005353404255533848
1999-04-14 04:00:00,42.878335555335134,43.18995136605705,40.47889381277641,41.72535705566406,3436700,-0.04383539107994467,-0.024409726984561127,-0.028452183330028715,-0.04879856290688613,0.4827654857718873,-0.03032824794251704,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.74,0.002958172296661375,-0.02994655684515307,-0.0029984568441092352,-0.015965933063986384,0.0016004862134845297
1999-04-15 04:00:00,40.88399768150982,40.91515926510853,39.91798858994975,40.47889709472656,4508100,-0.03032824794251704,-0.04762796791119854,-0.046809483211458267,-0.013953633695809368,0.2713640700828851,0.013761889651065196,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,4.74,-0.0022453060355347625,0.005762531766761781,-0.004243931705309484,-0.004216795807645577,0.004892089962070589
1999-04-16 04:00:00,40.54122855578215,41.35142989509831,40.41658219588735,41.03981399536133,2372500,0.013761889651065196,-0.008419286413145509,0.010606364607794815,0.012413086998093186,-0.6419315272157076,-0.12177676787891514,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,4.74,0.007415457908754236,-0.015074760940159365,-0.007061573309659537,-0.0029146078293303093,0.0029747125884953007
1999-04-19 04:00:00,39.138979196957415,39.32594884280275,35.399586280050656,36.334434509277344,6684900,-0.051913269629311115,-0.035200564530433034,-0.046809483211458267,-0.04879856290688613,1.0359070000769492,0.011087245999402872,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.74,-0.01058115499233166,-0.05734074092695565,0.014641640632932334,-0.022634852550357645,-0.005097775888194956
1999-04-20 04:00:00,36.52139365056291,38.1106351831386,36.33442405849518,36.739524841308594,5986100,0.011087245999402872,-0.05127981303713704,-0.03139119504151659,0.026065480001810568,-0.11041113664141725,0.030899702263744094,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,1,-1,-1,4.74,0.00137234253121163,0.026931772371610395,-0.03046569593807895,0.012860203295938252,0.000767820470216869
1999-04-21 04:00:00,37.393901222630554,38.54687984366166,36.988800626052054,37.892486572265625,3409100,0.030899702263744094,0.023609405914136457,0.011381776980318198,0.017849567974233156,-0.5629917880963722,-0.008257662533612545,-1,-1,-1,-1,1,-1,1,1,1,1,-1,1,1,-1,4.74,-0.012177124372538864,0.03243588150708048,-0.0013933885814566603,0.022670663304898607,0.012636431432107569
1999-04-22 04:00:00,37.89248743262853,38.07945694298689,37.20693256131453,37.58087158203125,3501900,-0.008257662533612545,0.01324524945538963,-0.012200209955578198,0.00587992204824869,0.026857351503484495,-0.015037485180975852,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,1,-1,4.74,0.010305078460239555,0.02872281331982095,0.01612660837093513,0.01684674875227101,0.013681052888749937
1999-04-23 04:00:00,37.76785590431907,38.32876465537331,36.92649277773771,37.01997756958008,2971000,-0.015037485180975852,-0.0032945037132879338,0.0065257008184871745,-0.007565848199751373,-0.16440708186411968,0.036367809777754063,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,1,-1,4.74,0.015324848900240075,0.011288217882056438,0.0022426969022285867,-0.001450817739520779,-0.003502831150456772
1999-04-26 04:00:00,37.39392292963994,39.294780678563306,37.30043812231584,38.39109420776367,4088900,0.036367809777754063,-0.009950165246288795,0.02489105320533561,0.010075817595620814,0.3193773887458075,0.0264326479227168,-1,1,-1,1,1,-1,1,1,1,1,-1,1,1,1,4.74,-0.0002801411297066405,0.02340871737251201,0.011692436879718717,0.0023483210033231894,0.00270175528355075
1999-04-27 04:00:00,39.76218049422555,39.79334207768497,39.138948825037055,39.419403076171875,2991300,0.0264326479227168,0.052157720056926024,0.01260791092218084,0.04811303232473211,-0.31256790970555826,-0.01996058921003438,1,1,1,1,1,-1,1,1,1,-1,-1,1,1,1,4.74,0.002288347801491441,-0.018895039249012233,0.013743611658194346,0.0020273028322104576,0.01049833711574667
1999-04-28 04:00:00,39.88683294480847,40.13612565071352,38.29759194466376,38.6403694152832,3004600,-0.01996058921003438,0.0031300463614312834,0.008577203984263189,-0.021731084109605392,0.004436372125466332,-0.0327898294045312,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,4.74,-0.0008866970622064675,-0.020199412370601695,0.0007882883082682063,-0.008762977894182676,0.0012677155232625568
1999-04-29 04:00:00,37.39390563964844,38.26643010457357,36.33441164652507,37.39390563964844,5821900,-0.0327898294045312,-0.05127981303713704,-0.046809483211458267,-0.04879856290688613,0.6614822213016319,-0.018503459787066412,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,4.74,0.0,-0.008636004034468256,-0.015454891741963322,-0.005999170215246042,0.0030316673075590477
1999-04-30 04:00:00,36.957643842454274,37.08229019605446,36.334412074453354,36.708351135253906,4371400,-0.018503459787066412,-0.011735244440927608,-0.03143351082401949,1.1777493133558875e-08,-0.28654334501386813,0.0342129901577163,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.74,-0.014309635827652737,0.0056869854835157755,0.008368007944619843,-0.005713140073082221,-0.008246514847448238
1999-05-03 04:00:00,36.70835939052166,38.01714639765401,36.52138981807418,37.985984802246094,3307700,0.0342129901577163,-0.0067679904581619274,0.024897776509703946,0.005132828114497098,-0.2788302401232331,-0.005759187397021435,1,1,-1,1,1,-1,1,1,1,1,1,-1,-1,1,4.74,0.0,-0.0028670355532977275,0.0,0.014462203465727276,0.020699067765169183
1999-05-04 04:00:00,37.98597627268373,38.20410739155886,37.2069365624154,37.767845153808594,2446900,-0.005759187397021435,0.03421254072472996,0.004905754223844661,0.018597099270579943,-0.30143116655221497,-0.0074532053235960355,-1,-1,-1,1,1,-1,-1,1,1,1,1,1,-1,1,4.74,0.0,-0.020101443252031864,-0.0029193233313076334,-0.016846785798959794,-0.01174217845070235
1999-05-05 04:00:00,37.767854419432375,37.98598559182184,36.77068334565198,37.48740005493164,2356000,-0.0074532053235960355,-0.005758717521027033,-0.005725741683900362,-0.011794331161852321,-0.0378566514691616,0.012391693947389149,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,1,1,1,4.74,0.0,0.019655636436170045,-0.020317966989770845,0.011428483375267562,0.006345715465203503
1999-05-06 04:00:00,37.42507542765199,38.172953704307815,37.2692674533487,37.9548225402832,2285000,0.012391693947389149,-0.009117382897050582,0.0049099551497814,0.013468178703092437,-0.03059924144317223,-0.008244246992261617,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,4.74,0.03524143497864297,-0.0248358180733519,0.0007651136326765152,-0.011390909885870973,-0.0007843807691337302
1999-05-07 04:00:00,37.89249263536062,38.297593296758386,36.89532177653533,37.6431999206543,2205900,-0.008244246992261617,0.012412063228949263,0.0032598093700280306,-0.010084296283805772,-0.035230435458018766,-0.02940154772451145,-1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,4.74,-0.02067924951935183,0.012596917700690132,-0.007929475561232512,0.00967486744620845,0.0077139293511922745
1999-05-10 04:00:00,37.26926018210018,37.39390653722427,36.5213820513557,36.55254364013672,2013800,-0.02940154772451145,-0.016584145898761983,-0.02387929167316974,-0.010186863190219534,-0.09111210438877179,0.03353216714764075,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,4.74,0.0017975867026378304,0.009053632449814296,-0.0011334607697957065,-0.003500507120746083,-0.002208814422034604
