Date,Open,High,Low,Close,Volume,log_return,log_return_open,log_return_high,log_return_low,log_return_forecast,sma,wma,ema,dema,tema,aroon,rsi,willr,cci,ad,mom,slowk,slowd,macd,fed_funds_rate,^N225,^IXIC,^FTSE,^SPX,^DJI
1999-04-14 04:00:00,10394.73046875,10526.5400390625,10367.8095703125,10411.66015625,107230000,0.0016004862134845297,0.005219152110946667,0.010281094470892357,0.004964151609334486,0.004892089962070589,1,1,1,1,-1,1,1,-1,-1,-1,1,-1,-1,1,4.74,0.002958172296661375,-0.02994655684515307,-0.0029984568441092352,-0.015965933063986384,0.0016004862134845297
1999-04-15 04:00:00,10411.66015625,10500.740234375,10378.6298828125,10462.7197265625,137100000,0.004892089962070589,0.0016273549354473115,-0.002453937675133767,0.001043100769704934,0.0029747125884953007,1,1,1,1,-1,1,1,1,-1,1,1,-1,-1,1,4.74,-0.0022453060355347625,0.005762531766761781,-0.004243931705309484,-0.004216795807645577,0.004892089962070589
1999-04-16 04:00:00,10463.5595703125,10520.009765625,10386.6103515625,10493.8896484375,113560000,0.0029747125884953007,0.004972356858878848,0.001833382410003511,0.0007686373047297756,-0.005097775888194956,1,1,1,1,-1,1,1,1,-1,1,1,-1,-1,1,4.74,0.007415457908754236,-0.015074760940159365,-0.007061573309659537,-0.0029146078293303093,0.0029747125884953007
1999-04-19 04:00:00,10493.8896484375,10765.740234375,10404.8701171875,10440.5302734375,145000000,-0.005097775888194956,0.002894445691687167,0.02308975591494023,0.001756466582261034,0.000767820470216869,1,1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,4.74,-0.01058115499233166,-0.05734074092695565,0.014641640632932334,-0.022634852550357645,-0.005097775888194956
1999-04-20 04:00:00,10440.5302734375,10496.3701171875,10333.150390625,10448.5498046875,113400000,0.000767820470216869,-0.005097775888194956,-0.025339397246045923,-0.006916765509777441,0.012636431432107569,1,1,1,-1,-1,1,1,1,-1,1,1,-1,-1,-1,4.74,0.00137234253121163,0.026931772371610395,-0.03046569593807895,0.012860203295938252,0.000767820470216869
1999-04-21 04:00:00,10448.9599609375,10581.419921875,10420.76953125,10581.419921875,95180000,0.012636431432107569,0.0008070745492580378,0.008070131272402437,0.008443673438653179,0.013681052888749937,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,4.74,-0.012177124372538864,0.03243588150708048,-0.0013933885814566603,0.022670663304898607,0.012636431432107569
1999-04-22 04:00:00,10580.6201171875,10753.8095703125,10580.0498046875,10727.1796875,107780000,0.013681052888749937,0.012521588734350516,0.01616044488833625,0.015169248890550066,-0.003502831150456772,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,4.74,0.010305078460239555,0.02872281331982095,0.01612660837093513,0.01684674875227101,0.013681052888749937
1999-04-23 04:00:00,10726.0400390625,10754.669921875,10646.7099609375,10689.669921875,106990000,-0.003502831150456772,0.013650396528567631,8.000115147810277e-05,0.0062807867165413445,0.00270175528355075,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,4.74,0.015324848900240075,0.011288217882056438,0.0022426969022285867,-0.001450817739520779,-0.003502831150456772
1999-04-26 04:00:00,10689.669921875,10729.1904296875,10649.8603515625,10718.58984375,86860000,0.00270175528355075,-0.0033965861715587954,-0.0023719670223758095,0.00029585896712488606,0.01049833711574667,1,1,1,-1,-1,1,1,1,-1,1,1,1,1,1,4.74,-0.0002801411297066405,0.02340871737251201,0.011692436879718717,0.0023483210033231894,0.00270175528355075
1999-04-27 04:00:00,10719.16015625,10847.740234375,10719.16015625,10831.7099609375,103340000,0.01049833711574667,0.002754961660165123,0.010988680405855811,0.006486029400116278,0.0012677155232625568,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.74,0.002288347801491441,-0.018895039249012233,0.013743611658194346,0.0020273028322104576,0.01049833711574667
1999-04-28 04:00:00,10831.990234375,10935.3701171875,10811.08984375,10845.4501953125,99540000,0.0012677155232625568,0.010471005676007,0.00804571561303648,0.008539635737308354,0.0030316673075590477,1,1,1,1,-1,1,1,-1,1,-1,1,-1,1,1,4.74,-0.0008866970622064675,-0.020199412370601695,0.0007882883082682063,-0.008762977894182676,0.0012677155232625568
1999-04-29 04:00:00,10844.7802734375,10928.2099609375,10834.8603515625,10878.3798828125,104670000,0.0030316673075590477,0.0011800688245634482,-0.0006549848177098842,0.002196301585585036,-0.008246514847448238,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,-1,1,4.74,0.0,-0.008636004034468256,-0.015454891741963322,-0.005999170215246042,0.0030316673075590477
1999-04-30 04:00:00,10876.9501953125,10961.7099609375,10654.73046875,10789.0400390625,122040000,-0.008246514847448238,0.0029620057611389793,0.003060771923588271,-0.01676477725493631,0.020699067765169183,1,1,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,4.74,-0.014309635827652737,0.0056869854835157755,0.008368007944619843,-0.005713140073082221,-0.008246514847448238
1999-05-03 04:00:00,10789.0400390625,11014.6904296875,10756.1103515625,11014.6904296875,94430000,0.020699067765169183,-0.00811508153920381,0.004821587743923985,0.009470028881170323,-0.01174217845070235,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,4.74,0.0,-0.0028670355532977275,0.0,0.014462203465727276,0.020699067765169183
1999-05-04 04:00:00,11014.6904296875,11035.3095703125,10868.3603515625,10886.1103515625,105900000,-0.01174217845070235,0.020699067765169183,0.001870217381858252,0.010381850243426163,0.006345715465203503,1,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,4.74,0.0,-0.020101443252031864,-0.0029193233313076334,-0.016846785798959794,-0.01174217845070235
1999-05-05 04:00:00,10883.5400390625,10955.41015625,10775.8603515625,10955.41015625,110840000,0.006345715465203503,-0.011978315684495547,-0.0072666803673569836,-0.00854736831782183,-0.0007843807691337302,1,1,1,-1,-1,1,1,1,-1,1,1,1,1,-1,4.74,0.0,0.019655636436170045,-0.020317966989770845,0.011428483375267562,0.006345715465203503
